ID,ESN,MTH,DAY,HR_GMT,MIN,YEARDAY,LON,LAT,DEPTH
246400711,4536410,6,6,7,40,157.3194444,-70.37455,41.03773,-1
246400711,4536410,6,6,6,36,157.275,-70.3529,41.04185,-1
246400711,4536410,6,6,7,40,157.3194444,-70.37455,41.03773,-1
246400711,4536410,6,6,8,48,157.3666667,-70.3991,41.03763,-1
246400711,4536410,6,6,9,42,157.4041667,-70.41579,41.04189,-1
246400711,4536410,6,6,8,48,157.3666667,-70.3991,41.03763,-1
246400711,4536410,6,6,9,42,157.4041667,-70.41579,41.04189,-1
246400711,4536410,6,6,10,38,157.4430556,-70.42813,41.05128,-1
246400711,4536410,6,6,11,36,157.4833333,-70.43429,41.06276,-1
246400711,4536410,6,6,10,38,157.4430556,-70.42813,41.05128,-1
246400711,4536410,6,6,11,36,157.4833333,-70.43429,41.06276,-1
246400711,4536410,6,6,12,27,157.51875,-70.43453,41.07324,-1
246400711,4536410,6,6,13,31,157.5631944,-70.42841,41.08476,-1
246400711,4536410,6,6,12,27,157.51875,-70.43453,41.07324,-1
246400711,4536410,6,6,13,31,157.5631944,-70.42841,41.08476,-1
246400711,4536410,6,6,14,30,157.6041667,-70.41826,41.09381,-1
246400711,4536410,6,6,15,37,157.6506944,-70.40491,41.10086,-1
246400711,4536410,6,6,14,30,157.6041667,-70.41826,41.09381,-1
246400711,4536410,6,6,15,37,157.6506944,-70.40491,41.10086,-1
246400711,4536410,6,6,16,44,157.6972222,-70.39749,41.10371,-1
246400711,4536410,6,6,17,46,157.7402778,-70.3977,41.10374,-1
246400711,4536410,6,6,16,44,157.6972222,-70.39749,41.10371,-1
246400711,4536410,6,6,17,46,157.7402778,-70.3977,41.10374,-1
246400711,4536410,6,6,19,1,157.7923611,-70.402,41.10408,-1
246400711,4536410,6,6,20,2,157.8347222,-70.4071,41.10499,-1
246400711,4536410,6,6,19,1,157.7923611,-70.402,41.10408,-1
246400711,4536410,6,6,20,2,157.8347222,-70.4071,41.10499,-1
246400711,4536410,6,6,21,2,157.8763889,-70.41157,41.10754,-1
246400711,4536410,6,6,21,2,157.8763889,-70.41157,41.10754,-1
246400711,4536410,6,6,22,13,157.9256944,-70.41313,41.11205,-1
246400711,4536410,6,6,23,19,157.9715278,-70.40921,41.11752,-1
246400711,4536410,6,7,0,13,158.0090278,-70.40157,41.12137,-1
246400711,4536410,6,7,0,13,158.0090278,-70.40157,41.12137,-1
246400711,4536410,6,7,1,13,158.0506944,-70.38942,41.12389,-1
246400711,4536410,6,7,2,11,158.0909722,-70.37605,41.12485,-1
246400711,4536410,6,7,1,13,158.0506944,-70.38942,41.12389,-1
246400711,4536410,6,7,2,11,158.0909722,-70.37605,41.12485,-1
246400711,4536410,6,7,3,10,158.1319444,-70.36241,41.12433,-1
246400711,4536410,6,7,4,20,158.1805556,-70.35247,41.12081,-1
246400711,4536410,6,7,3,10,158.1319444,-70.36241,41.12433,-1
246400711,4536410,6,7,4,20,158.1805556,-70.35247,41.12081,-1
246400711,4536410,6,7,5,25,158.2256944,-70.35322,41.11611,-1
246400711,4536410,6,7,6,16,158.2611111,-70.35964,41.11199,-1
246400711,4536410,6,7,7,8,158.2972222,-70.36996,41.10812,-1
246400711,4536410,6,7,5,25,158.2256944,-70.35322,41.11611,-1
246400711,4536410,6,7,6,16,158.2611111,-70.35964,41.11199,-1
246400711,4536410,6,7,7,8,158.2972222,-70.36996,41.10812,-1
246400711,4536410,6,7,8,18,158.3458333,-70.3867,41.10526,-1
246400711,4536410,6,7,9,22,158.3902778,-70.40388,41.1059,-1
246400711,4536410,6,7,9,22,158.3902778,-70.40388,41.1059,-1
246400711,4536410,6,7,10,25,158.4340278,-70.4171,41.10918,-1
246400711,4536410,6,7,11,21,158.4729167,-70.42502,41.11371,-1
246400711,4536410,6,7,10,25,158.4340278,-70.4171,41.10918,-1
246400711,4536410,6,7,11,21,158.4729167,-70.42502,41.11371,-1
246400711,4536410,6,7,12,33,158.5229167,-70.43008,41.11994,-1
246400711,4536410,6,7,13,29,158.5618056,-70.42918,41.12436,-1
246400711,4536410,6,7,12,33,158.5229167,-70.43008,41.11994,-1
246400711,4536410,6,7,13,29,158.5618056,-70.42918,41.12436,-1
246400711,4536410,6,7,14,25,158.6006944,-70.42455,41.12624,-1
246400711,4536410,6,7,15,25,158.6423611,-70.41912,41.12651,-1
246400711,4536410,6,7,14,25,158.6006944,-70.42455,41.12624,-1
246400711,4536410,6,7,15,25,158.6423611,-70.41912,41.12651,-1
246400711,4536410,6,7,16,22,158.6819444,-70.41554,41.12595,-1
246400711,4536410,6,7,17,15,158.71875,-70.41461,41.1245,-1
246400711,4536410,6,7,18,6,158.7541667,-70.4168,41.1227,-1
246400711,4536410,6,7,16,22,158.6819444,-70.41554,41.12595,-1
246400711,4536410,6,7,17,15,158.71875,-70.41461,41.1245,-1
246400711,4536410,6,7,18,6,158.7541667,-70.4168,41.1227,-1
246400711,4536410,6,7,19,0,158.7916667,-70.42234,41.12078,-1
246400711,4536410,6,7,20,8,158.8388889,-70.43371,41.12033,-1
246400711,4536410,6,7,19,0,158.7916667,-70.42234,41.12078,-1
246400711,4536410,6,7,20,8,158.8388889,-70.43371,41.12033,-1
246400711,4536410,6,7,21,2,158.8763889,-70.4439,41.12167,-1
246400711,4536410,6,7,22,10,158.9236111,-70.45467,41.12502,-1
246400711,4536410,6,7,21,2,158.8763889,-70.4439,41.12167,-1
246400711,4536410,6,7,22,10,158.9236111,-70.45467,41.12502,-1
246400711,4536410,6,7,23,10,158.9652778,-70.46021,41.13099,-1
246400711,4536410,6,7,23,10,158.9652778,-70.46021,41.13099,-1
246400711,4536410,6,8,0,21,159.0145833,-70.45997,41.13978,-1
246400711,4536410,6,8,1,24,159.0583333,-70.45334,41.147,-1
246400711,4536410,6,8,0,21,159.0145833,-70.45997,41.13978,-1
246400711,4536410,6,8,1,24,159.0583333,-70.45334,41.147,-1
246400711,4536410,6,8,2,23,159.0993056,-70.44384,41.15197,-1
246400711,4536410,6,8,3,15,159.1354167,-70.43294,41.1557,-1
246400711,4536410,6,8,4,10,159.1736111,-70.42045,41.15862,-1
246400711,4536410,6,8,2,23,159.0993056,-70.44384,41.15197,-1
246400711,4536410,6,8,3,15,159.1354167,-70.43294,41.1557,-1
246400711,4536410,6,8,4,10,159.1736111,-70.42045,41.15862,-1
246400711,4536410,6,8,5,5,159.2118056,-70.4109,41.15675,-1
246400711,4536410,6,8,5,58,159.2486111,-70.4074,41.15199,-1
246400711,4536410,6,8,5,5,159.2118056,-70.4109,41.15675,-1
246400711,4536410,6,8,5,58,159.2486111,-70.4074,41.15199,-1
246400711,4536410,6,8,7,6,159.2958333,-70.40837,41.14561,-1
246400711,4536410,6,8,7,58,159.3319444,-70.4118,41.13956,-1
246400711,4536410,6,8,7,6,159.2958333,-70.40837,41.14561,-1
246400711,4536410,6,8,7,58,159.3319444,-70.4118,41.13956,-1
246400711,4536410,6,8,8,59,159.3743056,-70.4212,41.1331,-1
246400711,4536410,6,8,10,9,159.4229167,-70.43358,41.12862,-1
246400711,4536410,6,8,8,59,159.3743056,-70.4212,41.1331,-1
246400711,4536410,6,8,10,9,159.4229167,-70.43358,41.12862,-1
246400711,4536410,6,8,11,1,159.4590278,-70.44341,41.12738,-1
246400711,4536410,6,8,12,4,159.5027778,-70.44952,41.12815,-1
246400711,4536410,6,8,11,1,159.4590278,-70.44341,41.12738,-1
246400711,4536410,6,8,12,4,159.5027778,-70.44952,41.12815,-1
246400711,4536410,6,8,12,45,159.53125,-70.45225,41.13024,-1
246400711,4536410,6,8,13,37,159.5673611,-70.45103,41.13243,-1
246400711,4536410,6,8,12,45,159.53125,-70.45225,41.13024,-1
246400711,4536410,6,8,13,37,159.5673611,-70.45103,41.13243,-1
246400711,4536410,6,8,14,34,159.6069444,-70.44607,41.13437,-1
246400711,4536410,6,8,15,27,159.64375,-70.43952,41.13599,-1
246400711,4536410,6,8,14,34,159.6069444,-70.44607,41.13437,-1
246400711,4536410,6,8,15,27,159.64375,-70.43952,41.13599,-1
246400711,4536410,6,8,16,35,159.6909722,-70.42841,41.1365,-1
246400711,4536410,6,8,17,28,159.7277778,-70.42075,41.13544,-1
246400711,4536410,6,8,16,35,159.6909722,-70.42841,41.1365,-1
246400711,4536410,6,8,17,28,159.7277778,-70.42075,41.13544,-1
246400711,4536410,6,8,18,36,159.775,-70.41502,41.13414,-1
246400711,4536410,6,8,19,40,159.8194444,-70.4109,41.13252,-1
246400711,4536410,6,8,18,36,159.775,-70.41502,41.13414,-1
246400711,4536410,6,8,19,40,159.8194444,-70.4109,41.13252,-1
246400711,4536410,6,8,20,47,159.8659722,-70.40796,41.13119,-1
246400711,4536410,6,8,21,41,159.9034722,-70.40534,41.13047,-1
246400711,4536410,6,8,20,47,159.8659722,-70.40796,41.13119,-1
246400711,4536410,6,8,21,41,159.9034722,-70.40534,41.13047,-1
